date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
1997-12-31,1997Q4,1375835,Villa,family_sale,1934,449000,0.0,6,120.0,3741.6667,Skovløbervænget 8,7000,Fredericia,South jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375831,Farm,regular_sale,1875,3050000,0.0,6,250.0,12200.0,Esagervej 8,4672,Klippinge,Other islands,Zealand,3.25,2.18,7.2
1997-12-31,1997Q4,1375832,Villa,regular_sale,1934,677000,0.0,7,156.0,4339.7437,Hovedgaden 10,3310,Alsted,North Zealand,Zealand,3.25,2.18,7.2
1997-12-31,1997Q4,1375833,Farm,family_sale,1918,1550000,0.0,4,161.0,9627.329,Kongevejen 246,3070,Snekkersten,North Zealand,Zealand,3.25,2.18,7.2
1997-12-31,1997Q4,1375834,Farm,family_sale,1918,1550000,0.0,3,102.0,15196.078,Kongevejen 248,3070,Snekkersten,North Zealand,Zealand,3.25,2.18,7.2
1997-12-31,1997Q4,1375838,Villa,regular_sale,1967,835000,0.0,4,116.0,7198.276,Brændkjærgade 127,6000,Kolding,South jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375836,Villa,regular_sale,1930,546000,0.0,5,121.0,4512.3965,Viborgvej 90,8600,Silkeborg,East & mid jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375837,Townhouse,regular_sale,1897,750000,0.0,6,150.0,5000.0,Hedegade 34,4000,Roskilde,Other islands,Zealand,3.25,2.18,7.2
1997-12-31,1997Q4,1375839,Villa,regular_sale,1935,685000,0.0,3,155.0,4419.355,Plantagevej 13,9940,Læsø,North jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375829,Villa,regular_sale,1900,311500,0.0,6,210.0,1483.3334,Vollerup Byvej 36,6392,Bolderslev,South jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375830,Villa,regular_sale,1974,335000,0.0,4,102.0,3284.3137,Bøgevej 4,7741,Frøstrup,South jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375818,Summerhouse,family_sale,1954,297500,0.0,4,55.0,5409.091,Vindgaf 3,6720,Fanø,South jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375828,Villa,family_sale,1959,820000,0.0,4,125.0,6560.0,Bentzens Vænge 6,3460,Birkerød,North Zealand,Zealand,3.25,2.18,7.2
1997-12-31,1997Q4,1375826,Villa,family_sale,1975,465000,0.0,6,192.0,2421.875,Vibevænget 25,6360,Tinglev,South jutland,Jutland,3.25,2.18,7.2
1997-12-31,1997Q4,1375825,Summerhouse,regular_sale,1962,725000,0.0,4,118.0,6144.068,Astre Strandvej 12,3730,Nexø,Bornholm,Bornholm,3.25,2.18,7.2
1997-12-31,1997Q4,1375824,Villa,family_sale,1884,900000,0.0,6,215.0,4186.0464,Fjordvejen 63,6340,Kruså,South jutland,Jutland,3.25,2.18,7.2
