date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
2013-12-31,2013Q4,803500,Summerhouse,family_sale,1966,415000,0.0,3,54.0,7685.185,Dyrholmen 48,3250,Gilleleje,North Zealand,Zealand,0.0,0.79,3.48
2013-12-30,2013Q4,803538,Townhouse,regular_sale,2014,2199000,0.0,4,120.0,18325.0,Krekærlunds AllÃ© 23,8340,Malling,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-29,2013Q4,803618,Apartment,regular_sale,1958,550000,0.0,2,46.0,11956.521,"Astergade 42, 1. 9",8000,Aarhus C,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-29,2013Q4,803586,Summerhouse,regular_sale,1998,1550000,-6.0,4,80.0,19375.0,Kirstinesvej 15,7080,Børkop,South jutland,Jutland,0.0,0.79,3.48
2013-12-29,2013Q4,803581,Farm,family_sale,1890,1200000,0.0,9,216.0,5555.5557,Ansvej 29,8620,Kjellerup,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-29,2013Q4,803565,Villa,other_sale,1877,900000,0.0,8,211.0,4265.403,Stærmosevej 160,5690,Tommerup,Fyn & islands,Fyn & islands,0.0,0.79,3.48
2013-12-29,2013Q4,803578,Villa,regular_sale,1890,1250000,-22.0,6,179.0,6983.24,Vesterende 45,6261,Bredebro,South jutland,Jutland,0.0,0.79,3.48
2013-12-28,2013Q4,803635,Villa,regular_sale,1915,1200000,-4.0,5,111.0,10810.811,Lyngbakken 3,3390,Hundested,North Zealand,Zealand,0.0,0.79,3.48
2013-12-28,2013Q4,803632,Villa,regular_sale,1972,925000,0.0,6,174.0,5316.092,Skråningen 9,7300,Jelling,South jutland,Jutland,0.0,0.79,3.48
2013-12-26,2013Q4,803675,Villa,regular_sale,1961,2530000,-6.0,7,186.0,13602.15,Vestergade 11,2690,Karlslunde,"Capital, Copenhagen",Zealand,0.0,0.79,3.48
2013-12-26,2013Q4,803683,Villa,family_sale,1880,700000,0.0,3,80.0,8750.0,Søndre Landevej 144,3720,Aakirkeby,Bornholm,Bornholm,0.0,0.79,3.48
2013-12-24,2013Q4,803779,Villa,regular_sale,2007,3412500,-7.0,5,143.0,23863.637,Padborgvej 97,4600,Køge,Other islands,Zealand,0.0,0.79,3.48
2013-12-23,2013Q4,803803,Apartment,regular_sale,1860,1200000,0.0,2,60.0,20000.0,"Klostervej 1, st. 8",4171,Glumsø,Other islands,Zealand,0.0,0.79,3.48
2013-12-22,2013Q4,803814,Villa,regular_sale,1989,1185000,-5.0,5,111.0,10675.676,Linåparken 11,7451,Sunds,South jutland,Jutland,0.0,0.79,3.48
2013-12-22,2013Q4,803845,Villa,regular_sale,1966,4700000,0.0,8,239.0,19665.271,Degnevangen 2,7700,Thisted,South jutland,Jutland,0.0,0.79,3.48
2013-12-22,2013Q4,803808,Apartment,regular_sale,2008,1925000,-8.0,2,95.0,20263.158,"Kongefolden 42, st. th",8660,Skanderborg,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-22,2013Q4,803866,Villa,regular_sale,1929,4300000,-3.0,4,126.0,34126.984,Windsorvej 31,2300,København S,"Capital, Copenhagen",Zealand,0.0,0.79,3.48
2013-12-22,2013Q4,803890,Villa,regular_sale,2015,1700000,0.0,7,186.0,9139.785,Statenevej 9,3450,Allerød,North Zealand,Zealand,0.0,0.79,3.48
2013-12-22,2013Q4,803824,Villa,regular_sale,1930,1025000,-6.0,4,118.0,8686.44,Greve Bygade 40,2670,Greve,"Capital, Copenhagen",Zealand,0.0,0.79,3.48
2013-12-22,2013Q4,803816,Apartment,regular_sale,1896,3950000,-7.0,6,176.0,22443.182,"Ãboulevard 18, 2. tv",2200,København N,"Capital, Copenhagen",Zealand,0.0,0.79,3.48
2013-12-21,2013Q4,803950,Villa,regular_sale,1986,5560000,-2.0,5,164.0,33902.438,Astre Grænsevej 45,2680,Solrød Strand,"Capital, Copenhagen",Zealand,0.0,0.79,3.48
2013-12-21,2013Q4,803923,Villa,regular_sale,1975,1100000,-7.0,5,142.0,7746.479,Nørre-Vangen 1,3230,Græsted,North Zealand,Zealand,0.0,0.79,3.48
2013-12-21,2013Q4,803938,Villa,regular_sale,2001,1895000,-12.0,4,122.0,15532.787,Svenstruphøj 32,9230,Svenstrup J,North jutland,Jutland,0.0,0.79,3.48
2013-12-21,2013Q4,803954,Apartment,regular_sale,1986,1580000,-4.0,3,88.0,17954.545,"Skejbygårdsvej 48, 3. th",8240,Risskov,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-21,2013Q4,803918,Villa,regular_sale,1900,600000,0.0,6,100.0,6000.0,Bertelsvej 1,9900,Frederikshavn,North jutland,Jutland,0.0,0.79,3.48
2013-12-21,2013Q4,803953,Apartment,regular_sale,1967,3625000,-3.0,3,202.0,17945.545,"Teatergade 3, 4. 4",4700,Næstved,Other islands,Zealand,0.0,0.79,3.48
2013-12-20,2013Q4,803981,Villa,regular_sale,2009,595000,0.0,3,51.0,11666.667,Rødtjørnevej 1B,4291,Ruds Vedby,Other islands,Zealand,0.0,0.79,3.48
2013-12-20,2013Q4,803961,Summerhouse,family_sale,1984,622100,0.0,3,75.0,8294.667,Sølvpilevej 2,4873,Væggerløse,Other islands,Zealand,0.0,0.79,3.48
2013-12-20,2013Q4,803963,Villa,regular_sale,2019,550000,-19.0,7,237.0,2320.675,Stenagervej 2,4200,Slagelse,Other islands,Zealand,0.0,0.79,3.48
2013-12-20,2013Q4,803970,Villa,regular_sale,1980,1250000,0.0,6,164.0,7621.951,Ãstrupparken 32,8500,Grenaa,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804015,Villa,regular_sale,1967,3575000,-8.0,5,129.0,27713.178,Pilegårdsparken 15,3460,Birkerød,North Zealand,Zealand,0.0,0.79,3.48
2013-12-19,2013Q4,804180,Apartment,regular_sale,1885,1350000,-4.0,3,92.0,14673.913,"Ryttergade 13, 1",5000,Odense C,Fyn & islands,Fyn & islands,0.0,0.79,3.48
2013-12-19,2013Q4,804075,Villa,regular_sale,1798,2200000,-3.0,5,186.0,11827.957,Nygade 26,6200,Aabenraa,South jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,803989,Townhouse,regular_sale,1927,400000,0.0,2,37.0,10810.811,Nørregade 12,6622,Bække,South jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804035,Apartment,regular_sale,1935,1300000,0.0,1,30.0,43333.332,"Vestergade 19, 1. th",7850,Stoholm Jyll,South jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804091,Villa,regular_sale,1989,1775000,-6.0,6,170.0,10441.177,Klostervej 37,7500,Holstebro,South jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804131,Apartment,regular_sale,1932,840000,0.0,3,74.0,11351.352,"Fynsgade 3, st",7430,Ikast,South jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804022,Villa,regular_sale,1972,1615000,-5.0,4,177.0,9124.294,Skøjtevej 3,9230,Svenstrup J,North jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,803990,Villa,regular_sale,2009,1100000,0.0,4,109.0,10091.743,Bymarken 5,6851,Janderup Vestj,South jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804072,Summerhouse,family_sale,1983,500000,0.0,3,69.0,7246.377,Knirren 38,9340,Asaa,North jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804142,Villa,regular_sale,1777,1500000,-12.0,4,132.0,11363.637,Kirkestræde 4,8543,Hornslet,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-19,2013Q4,804008,Farm,regular_sale,1913,700000,0.0,6,150.0,4666.6665,Skjernvej 175,7500,Holstebro,South jutland,Jutland,0.0,0.79,3.48
2013-12-18,2013Q4,804278,Villa,regular_sale,1930,11650000,0.0,8,220.0,52954.547,Stadion AllÃ© 49,8000,Aarhus C,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-18,2013Q4,804299,Townhouse,regular_sale,1767,740000,0.0,4,173.0,4277.4565,Stenholtgade 33,6092,Sønder Stenderup,South jutland,Jutland,0.0,0.79,3.48
2013-12-18,2013Q4,804328,Townhouse,auction,1860,375391,0.0,2,49.0,7661.041,Astensvej 8A,5601,Lyø,Fyn & islands,Fyn & islands,0.0,0.79,3.48
2013-12-18,2013Q4,804362,Townhouse,regular_sale,2014,1398000,0.0,3,102.0,13705.883,Torstedalle 92K,8700,Horsens,East & mid jutland,Jutland,0.0,0.79,3.48
2013-12-18,2013Q4,804237,Villa,regular_sale,1880,304905,-49.0,4,148.0,2060.169,Bredgade 41,9830,Tårs,North jutland,Jutland,0.0,0.79,3.48
2013-12-18,2013Q4,804242,Villa,family_sale,1923,1600000,0.0,5,133.0,12030.075,Strøbyvej 30,2650,Hvidovre,"Capital, Copenhagen",Zealand,0.0,0.79,3.48
2013-12-18,2013Q4,804241,Villa,regular_sale,1880,525000,-24.0,5,269.0,1951.6729,Langetvedvej 24,6630,Rødding,South jutland,Jutland,0.0,0.79,3.48
2013-12-18,2013Q4,804222,Villa,regular_sale,1930,934506,0.0,5,162.0,5768.5557,Tandervej 24,8320,Mårslet,East & mid jutland,Jutland,0.0,0.79,3.48
